Strangname,Urspr. Q [l/h],Sim. Q [l/h],Urspr. P [W],Sim. P [W],Urspr. kV,Sim. kV
HK2-Strang 1,2824.1,2829.7,35569.9,35639.8,6.5,4.7
HK2-Strang 2,1622.0,1608.6,20414.4,20244.9,3.76,2.8
HK2-Heizkörper Ohne Ventil,125.5,166.5,1590.6,2110.1,N/A,N/A
HK1-Strang 1,528.4,481.1,6659.2,6063.2,0.72,1.0
HK1-Strang 2,597.3,580.1,7519.0,7301.9,0.84,1.3
HK1-Strang 3,678.6,684.6,8542.2,8618.0,0.97,1.6
HK1-Heizkörper Ohne Ventil,196.0,112.0,2484.0,1419.4,N/A,N/A
HK1-Strang 4,737.5,720.5,9292.9,9078.3,1.1,1.9
HK1-Strang 5,692.3,683.5,8723.0,8611.5,1.1,2.3
HK1-Strang 6,683.2,667.9,8596.1,8403.5,1.1,2.4
HK1-Strang 7,590.3,664.9,7437.9,8378.8,0.97,2.7
HK1-Strang 8 (Ende),662.6,603.6,8338.0,7596.0,1.1,2.6
