Strangname,Urspr. Q [l/h],Sim. Q [l/h],Urspr. P [W],Sim. P [W],Urspr. kV,Sim. kV
HK2-Strang 1,2824.1,3875.6,35569.9,48812.7,6.5,6.5
HK2-Strang 2,1622.0,1813.4,20414.4,22822.7,3.76,3.2
HK2-Heizkörper Ohne Ventil,125.5,164.2,1590.6,2080.9,N/A,N/A
HK1-Strang 1,528.4,882.7,6659.2,11124.9,0.72,1.9
HK1-Strang 2,597.3,810.7,7519.0,10205.4,0.84,1.9
HK1-Strang 3,678.6,771.6,8542.2,9713.2,0.97,1.9
HK1-Heizkörper Ohne Ventil,196.0,97.9,2484.0,1240.5,N/A,N/A
HK1-Strang 4,737.5,595.2,9292.9,7499.7,1.1,1.9
HK1-Strang 5,692.3,582.5,8723.0,7338.8,1.1,2.0
HK1-Strang 6,683.2,571.0,8596.1,7183.9,1.1,2.0
HK1-Strang 7,590.3,1603.9,7437.9,20210.6,0.97,5.9
HK1-Strang 8 (Ende),662.6,1044.4,8338.0,13143.1,1.1,3.9
