Strangname,Urspr. Q [l/h],Sim. Q [l/h],Urspr. P [W],Sim. P [W],Urspr. kV,Sim. kV
HK2-Strang 1,2824.1,3906.9,35569.9,49207.9,6.5,6.5
HK2-Strang 2,1622.0,2178.4,20414.4,27416.7,3.76,3.76
HK2-Heizkörper Ohne Ventil,125.5,168.2,1590.6,2131.6,N/A,N/A
HK1-Strang 1,528.4,380.9,6659.2,4800.4,0.72,0.72
HK1-Strang 2,597.3,429.8,7519.0,5410.4,0.84,0.84
HK1-Strang 3,678.6,487.8,8542.2,6140.8,0.97,0.97
HK1-Heizkörper Ohne Ventil,196.0,140.6,2484.0,1781.5,N/A,N/A
HK1-Strang 4,737.5,528.8,9292.9,6662.6,1.1,1.1
HK1-Strang 5,692.3,494.2,8723.0,6227.1,1.1,1.1
HK1-Strang 6,683.2,487.3,8596.1,6130.4,1.1,1.1
HK1-Strang 7,590.3,420.3,7437.9,5295.8,0.97,0.97
HK1-Strang 8 (Ende),662.6,471.3,8338.0,5931.5,1.1,1.1
