Parameter: Volumenstrom-Simulation
Pumpenfoerderhoehe (mWS): 6.0

Strang ID;Strang Name;Q Nominal (l/h);SRV kV max (m3/h);SRV Einstellung (kV);Volumenstrom (l/h) ERREICHT
Strang 1;Strang 1;0.00;0.00;6.5000;860.26
Strang 2;Strang 2;0.00;0.00;3.2000;814.96
Strang 3;Strang 3;92.00;100.00;100.0000;90.80
Strang 4;Strang 4;325.00;0.72;1.9000;386.35
Strang 5;Strang 5;359.00;0.84;1.9000;412.42
Strang 6;Strang 6;359.00;0.97;1.9000;391.06
Strang 7;Strang 7;92.00;100.00;100.0000;90.34
Strang 8;Strang 8;390.00;1.10;1.9000;416.34
Strang 9;Strang 9;392.00;1.10;2.0000;420.82
Strang 10;Strang 11;336.00;1.10;2.0000;350.94
Strang 11;Strang 10;363.00;0.97;5.9000;414.00
Strang 12;Strang 11;336.00;1.10;3.9000;359.34

GESAMTVOLUMENSTROM NOMINAL:;;3044.00;;;
GESAMTVOLUMENSTROM ERREICHT:;;;;;5007.64
