Parameter: Volumenstrom-Simulation
Pumpenfoerderhoehe (mWS): 6.5

Strang ID;Strang Name;Q Nominal (l/h);SRV kV max (m3/h);SRV Einstellung (kV);Volumenstrom (l/h) ERREICHT
Strang 1;Strang 1;0.00;0.00;0.0000;0.00
Strang 2;Strang 2;0.00;0.00;0.0000;641.83
Strang 3;Strang 3;92.00;100.00;100.0000;91.79
Strang 4;Strang 4;325.00;0.72;0.7200;324.27
Strang 5;Strang 5;359.00;0.84;0.8400;358.19
Strang 6;Strang 6;359.00;0.97;0.9700;358.19
Strang 7;Strang 7;92.00;100.00;100.0000;91.79
Strang 8;Strang 8;390.00;1.10;1.1000;389.12
Strang 9;Strang 9;392.00;1.10;1.1000;391.12
Strang 10;Strang 11;336.00;1.10;1.1000;335.24
Strang 11;Strang 10;363.00;0.97;0.9700;362.18
Strang 12;Strang 11;336.00;1.10;1.1000;335.24

GESAMTVOLUMENSTROM NOMINAL:;;3044.00;;;
GESAMTVOLUMENSTROM ERREICHT:;;;;;3678.98
